"PUMFID","WGHT_EPI","DDAY","STARTIME","ENDTIME","STARTMIN","ENDMIN","DURATION","LOCATION","origin","destination","dest","orig","YEAR","MODE"
18250,134.9339,1,540,545,340,345,5,14,1,2,"work or school","home",2005,"walking"
18250,134.9339,1,1400,1405,840,845,5,14,2,1,"home","work or school",2005,"walking"
18253,2530.748,5,1530,1550,930,950,20,14,1,6,"Grocery store, other stores or mall","home",2005,"walking"
18253,2530.748,5,1605,1630,965,990,25,14,6,1,"home","Grocery store, other stores or mall",2005,"walking"
18270,2419.79,1,1530,1540,930,940,10,14,1,6,"Grocery store, other stores or mall","home",2005,"walking"
18270,2419.79,1,1620,1630,980,990,10,14,6,1,"home","Grocery store, other stores or mall",2005,"walking"
18275,599.3646,4,1020,1025,620,625,5,14,1,3,"other's home","home",2005,"walking"
18275,599.3646,4,1125,1130,685,690,5,14,3,1,"home","other's home",2005,"walking"
18279,1855.687,4,1835,1845,1115,1125,10,14,1,1,"home","home",2005,"walking"
18279,1855.687,4,2250,2300,1370,1380,10,14,1,1,"home","home",2005,"walking"
18286,727.6884,2,900,915,540,555,15,14,1,3,"other's home","home",2005,"walking"
18286,727.6884,2,1700,1715,1020,1035,15,14,3,1,"home","other's home",2005,"walking"
18288,236.4095,4,1645,1655,1005,1015,10,14,1,4,"Restaurant, bar or club","home",2005,"walking"
18288,236.4095,4,1755,1805,1075,1085,10,14,4,3,"other's home","Restaurant, bar or club",2005,"walking"
18288,236.4095,4,1845,1855,1125,1135,10,14,3,9,"outdoors","other's home",2005,"walking"
18288,236.4095,4,2125,2130,1285,1290,5,14,1,1,"home","home",2005,"walking"
18289,1039.542,6,835,855,515,535,20,14,1,9,"outdoors","home",2005,"walking"
18289,1039.542,6,1145,1200,705,720,15,14,9,1,"home","outdoors",2005,"walking"
18295,1330.345,4,800,815,480,495,15,14,1,7,"Grocery store, other stores or mall","home",2005,"walking"
18295,1330.345,4,945,1000,585,600,15,14,7,1,"home","Grocery store, other stores or mall",2005,"walking"
18297,1438.911,3,1300,1301,780,781,1,14,1,3,"other's home","home",2005,"walking"
18297,1438.911,3,1800,1801,1080,1081,1,14,3,1,"home","other's home",2005,"walking"
18305,1224.225,3,900,910,540,550,10,14,9,1,"home","outdoors",2005,"walking"
18309,199.1147,5,800,802,480,482,2,14,1,1,"home","home",2005,"walking"
18309,199.1147,5,803,805,483,485,2,14,1,1,"home","home",2005,"walking"
18315,603.2791,1,915,925,555,565,10,14,1,4,"Restaurant, bar or club","home",2005,"walking"
18315,603.2791,1,1055,1105,655,665,10,14,4,1,"home","Restaurant, bar or club",2005,"walking"
18316,2181.425,1,1700,1701,1020,1021,1,14,1,3,"other's home","home",2005,"walking"
18316,2181.425,1,1800,1801,1080,1081,1,14,3,1,"home","other's home",2005,"walking"
18329,2164.289,3,2105,2115,1265,1275,10,14,6,1,"home","Grocery store, other stores or mall",2005,"walking"
18361,802.9986,6,1715,1725,1035,1045,10,14,7,4,"Restaurant, bar or club","Grocery store, other stores or mall",2005,"walking"
18361,802.9986,6,2130,2131,1290,1291,1,14,1,3,"other's home","home",2005,"walking"
18361,802.9986,6,2136,2137,1296,1297,1,14,3,1,"home","other's home",2005,"walking"
18364,3035.147,2,1030,1035,630,635,5,14,1,7,"Grocery store, other stores or mall","home",2005,"walking"
18373,196.677,6,915,920,555,560,5,14,7,4,"Restaurant, bar or club","Grocery store, other stores or mall",2005,"walking"
18381,1659.638,7,1545,1600,945,960,15,14,6,1,"home","Grocery store, other stores or mall",2005,"walking"
18403,1393.933,6,1730,1732,1050,1052,2,14,7,6,"Grocery store, other stores or mall","Grocery store, other stores or mall",2005,"walking"
18415,1444.817,2,1900,1903,1140,1143,3,14,1,3,"other's home","home",2005,"walking"
18415,1444.817,2,2130,2133,1290,1293,3,14,3,9,"outdoors","other's home",2005,"walking"
18418,244.0384,7,1855,1900,1135,1140,5,14,1,3,"other's home","home",2005,"walking"
18418,244.0384,7,2330,2335,1410,1415,5,14,3,1,"home","other's home",2005,"walking"
18424,950.3402,4,1700,1705,1020,1025,5,14,2,7,"Grocery store, other stores or mall","work or school",2005,"walking"
